76,1,8,CUBC,18,2008-08-22 00:00:00,2008-08-22 00:00:00
80,1,8,1st Lent VIII,66,2008-08-22 00:00:00,2008-08-22 00:00:00
81,1,8,Women's 1st Lent VIII,65,2008-08-22 00:00:00,2008-08-22 00:00:00
82,1,8,2nd Lent VIII,64,2008-08-22 00:00:00,2008-08-22 00:00:00
83,1,8,Women's 2nd Lent VIII,63,2008-08-22 00:00:00,2008-08-22 00:00:00
84,1,8,3rd Lent VIII,62,2008-08-22 00:00:00,2008-08-22 00:00:00
85,1,8,4th Lent VIII,60,2008-08-22 00:00:00,2008-08-22 00:00:00
87,1,8,CUWBC,18,2008-08-22 00:00:00,2008-08-22 00:00:00
88,1,8,Michaelmas Term,34,2008-08-22 00:00:00,2008-08-22 00:00:00
92,1,5,1st May VIII,99,2008-08-22 00:00:00,2008-08-22 00:00:00
93,1,7,May Term,100,2008-08-22 00:00:00,2008-08-22 00:00:00
94,1,7,Lent Term,67,2008-08-22 00:00:00,2008-08-22 00:00:00
95,1,7,Michaelmas Term,34,2008-08-22 00:00:00,2008-08-22 00:00:00
97,1,8,Women's 3rd Lent VIII,61,2008-08-22 00:00:00,2008-08-22 00:00:00
98,1,8,President / Men's Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
99,1,8,Women's Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
100,1,7,Men's Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
101,1,7,President / Women's Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
102,1,7,Head Coach,100,2008-08-22 00:00:00,2008-08-22 00:00:00
103,1,8,Secretary,100,2008-08-22 00:00:00,2008-08-22 00:00:00
104,1,8,Junior Treasurer,100,2008-08-22 00:00:00,2008-08-22 00:00:00
105,1,8,Queens' Ergs President,100,2008-08-22 00:00:00,2008-08-22 00:00:00
106,1,8,Social Secretary,100,2008-08-22 00:00:00,2008-08-22 00:00:00
107,1,8,Social Secretary,100,2008-08-22 00:00:00,2008-08-22 00:00:00
108,1,8,Coxes' Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
109,1,8,Head Coach,100,2008-08-22 00:00:00,2008-08-22 00:00:00
110,1,8,Coxes' Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
111,1,7,Coxes' Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
112,1,8,Lightweight Blue Boat,68,2008-08-22 00:00:00,2008-08-22 00:00:00
113,1,8,Lent Term,67,2008-08-22 00:00:00,2008-08-22 00:00:00
114,1,8,Granta,68,2008-08-22 00:00:00,2008-08-22 00:00:00
115,1,8,Blue Boat,68,2008-08-22 00:00:00,2008-08-22 00:00:00
117,1,8,1st May VIII,99,2008-08-22 00:00:00,2008-08-22 00:00:00
118,1,8,Women's Lightweight Blue Boat,68,2008-08-22 00:00:00,2008-08-22 00:00:00
119,1,6,BHBC,1,2008-08-22 00:00:00,2008-08-22 00:00:00
120,1,5,BHBC,1,2008-08-22 00:00:00,2008-08-22 00:00:00
121,1,4,BHBC,1,2008-08-22 00:00:00,2008-08-22 00:00:00
122,1,3,BHBC,1,2008-08-22 00:00:00,2008-08-22 00:00:00
123,1,8,5th May VIII,91,2008-08-22 00:00:00,2008-08-22 00:00:00
124,1,8,Women's 1st May VIII,98,2008-08-22 00:00:00,2008-08-22 00:00:00
125,1,8,2nd May VIII,97,2008-08-22 00:00:00,2008-08-22 00:00:00
126,1,8,Women's 2nd May VIII,96,2008-08-22 00:00:00,2008-08-22 00:00:00
127,1,8,Women's 3rd May VIII,94,2008-08-22 00:00:00,2008-08-22 00:00:00
128,1,8,Women's 4th May VIII,92,2008-08-22 00:00:00,2008-08-22 00:00:00
129,1,8,3rd May VIII,95,2008-08-22 00:00:00,2008-08-22 00:00:00
130,1,8,4th May VIII,93,2008-08-22 00:00:00,2008-08-22 00:00:00
131,1,8,May Term,100,2008-08-22 00:00:00,2008-08-22 00:00:00
132,1,9,1st Fairbairns IV,33,2008-08-22 00:00:00,2008-08-22 00:00:00
133,1,9,Fairbairns VIII,31,2008-08-22 00:00:00,2008-08-22 00:00:00
137,1,9,1st Womens Fairbairns IV,32,2008-08-22 00:00:00,2008-08-22 00:00:00
138,1,9,Fairbairns Womens VIII,30,2008-08-22 00:00:00,2008-08-22 00:00:00
139,1,9,Men's Captain,100,2008-08-22 00:00:00,2008-08-22 00:00:00
140,1,9,President,100,2008-08-22 00:00:00,2008-08-22 00:00:00
141,1,9,Novice Men - Cambuster,17,2008-08-22 00:00:00,2008-08-22 00:00:00
142,1,9,Novice Men - Titans,13,2008-08-22 00:00:00,2008-08-22 00:00:00
143,1,9,Novice Men - Purple,9,2008-08-22 00:00:00,2008-08-22 00:00:00
144,1,9,Novice Men - A Team,15,2008-08-22 00:00:00,2008-08-22 00:00:00
145,1,9,Novice Men - HeRows,11,2008-08-22 00:00:00,2008-08-22 00:00:00
146,1,9,Novice Women - Emerald,16,2008-08-22 00:00:00,2008-08-22 00:00:00
147,1,9,Novice Women - Jade,14,2008-08-22 00:00:00,2008-08-22 00:00:00
148,1,9,Novice Women - Turquoise,12,2008-08-22 00:00:00,2008-08-22 00:00:00
149,1,9,Novice Women - Apple,10,2008-08-22 00:00:00,2008-08-22 00:00:00
150,1,9,Novice Women - Mint,8,2008-08-22 00:00:00,2008-08-22 00:00:00
151,1,9,2nd Fairbairns VIII (scratch),28,2008-08-22 00:00:00,2008-08-22 00:00:00
152,1,9,1st Lent VIII,66,2008-08-22 00:00:00,2008-08-22 00:00:00
153,1,9,2nd Lent VIII,64,2008-08-22 00:00:00,2008-08-22 00:00:00
154,1,9,Womens 1st Lent VIII,65,2008-08-22 00:00:00,2008-08-22 00:00:00
155,1,9,3rd Lent VIII,62,2008-08-22 00:00:00,2008-08-22 00:00:00
156,1,9,4th Lent VIII,60,2008-08-22 00:00:00,2008-08-22 00:00:00
157,1,9,Womens 2nd Lent VIII,63,2008-08-22 00:00:00,2008-08-22 00:00:00
158,1,9,Womens 3rd Lent VIII,61,2008-08-22 00:00:00,2008-08-22 00:00:00
159,1,9,Womens 4th Lent VIII,59,2008-08-22 00:00:00,2008-08-22 00:00:00
160,1,9,5th Lent VIII,58,2008-08-22 00:00:00,2008-08-22 00:00:00
161,1,9,Kris Coventry,56,2008-08-22 00:00:00,2008-08-22 00:00:00
162,1,9,May Term,100,2008-08-22 00:00:00,2008-08-22 00:00:00
163,1,9,1st May VIII,99,2008-08-22 00:00:00,2008-08-22 00:00:00
164,1,9,2nd May VIII,97,2008-08-22 00:00:00,2008-08-22 00:00:00
165,1,9,Lent Term,67,2008-08-22 00:00:00,2008-08-22 00:00:00
166,1,9,Michaelmas Term,34,2008-08-22 00:00:00,2008-08-22 00:00:00
167,1,9,Women's 3rd May VIII,94,2008-08-22 00:00:00,2008-08-22 00:00:00
168,1,9,Granta,68,2008-08-22 00:00:00,2008-08-22 00:00:00
169,1,9,CULRC Honorary Secretary,100,2008-08-22 00:00:00,2008-08-22 00:00:00
170,1,9,Womens 2nd May VIII,96,2008-08-22 00:00:00,2008-08-22 00:00:00
171,1,9,Womens 1st May VIII,98,2008-08-22 00:00:00,2008-08-22 00:00:00
172,1,9,3rd May VIII,95,2008-08-22 00:00:00,2008-08-22 00:00:00
173,1,9,Geoff Elliott,82,2008-08-22 00:00:00,2008-08-22 00:00:00
174,1,9,Rich Moore,81,2008-08-22 00:00:00,2008-08-22 00:00:00
175,1,9,Rich Brimfield,80,2008-08-22 00:00:00,2008-08-22 00:00:00
176,1,9,Moore-Elliott Double,79,2008-08-22 00:00:00,2008-08-22 00:00:00
177,1,9,2nd May IV,78,2008-08-22 00:00:00,2008-08-22 00:00:00
178,1,9,1st May IV,77,2008-08-22 00:00:00,2008-08-22 00:00:00
190,1,10,1st Novice VIII,17,2008-08-22 00:00:00,2008-08-22 00:00:00
191,1,10,1st Novice Womens VIII,16,2008-08-22 00:00:00,2008-08-22 00:00:00
192,1,10,2nd Novice VIII,15,2008-08-22 00:00:00,2008-08-22 00:00:00
193,1,10,2nd Novice Womens VIII,14,2008-08-22 00:00:00,2008-08-22 00:00:00
194,1,10,3rd Novice VIII,13,2008-08-22 00:00:00,2008-08-22 00:00:00
195,1,10,3rd Novice Womens VIII,12,2008-08-22 00:00:00,2008-08-22 00:00:00
196,1,10,4th Novice VIII,11,2008-08-22 00:00:00,2008-08-22 00:00:00
197,1,10,Novice Graduate VIII,10,2008-08-22 00:00:00,2008-08-22 00:00:00
198,1,10,HORR IV,27,2008-08-22 00:00:00,2008-08-22 00:00:00
199,1,10,Womens Fairbairns IV,31,2008-08-22 00:00:00,2008-08-22 00:00:00
200,1,10,Fairbairns VIII,32,2008-08-22 00:00:00,2008-08-22 00:00:00
201,1,10,Womens 2nd Fairbairns IV,27,2008-08-22 00:00:00,2008-08-22 00:00:00
202,1,10,Fairbairns Scratch VIII,30,2008-08-22 00:00:00,2008-08-22 00:00:00
203,1,10,Commitee 2005-06,3,2008-08-22 00:00:00,2008-08-22 00:00:00
204,1,10,President,100,2008-08-22 00:00:00,2008-08-22 00:00:00
205,1,10,Womens Autumn VIII,25,2008-08-22 00:00:00,2008-08-22 00:00:00
206,1,10,Womens Autumn IV,24,2008-08-22 00:00:00,2008-08-22 00:00:00
207,1,10,Michaelmas Term,34,2008-08-22 00:00:00,2008-08-22 00:00:00
208,1,10,1st Lent VIII,66,2008-08-22 00:00:00,2008-08-22 00:00:00
209,1,10,2nd Lent VIII,64,2008-08-22 00:00:00,2008-08-22 00:00:00
210,1,10,Womens 1st Lent VIII,65,2008-08-22 00:00:00,2008-08-22 00:00:00
211,1,10,Womens 2nd Lent VIII,63,2008-08-22 00:00:00,2008-08-22 00:00:00
212,1,10,3rd Lent VIII,62,2008-08-22 00:00:00,2008-08-22 00:00:00
214,1,10,4th  Lent (Gentlemens') VIII,61,2008-08-22 00:00:00,2008-08-22 00:00:00
215,1,10,Lent Bumps Dinner 2006,50,2008-08-22 00:00:00,2008-08-22 00:00:00
216,1,10,QCBC at Cuppers Cycling,35,2008-08-22 00:00:00,2008-08-22 00:00:00
217,1,10,Barsley-Finch Double,36,2008-08-22 00:00:00,2008-08-22 00:00:00
218,1,10,Moore-Dyson Double,37,2008-08-22 00:00:00,2008-08-22 00:00:00
219,1,10,Ian Wright,38,2008-08-22 00:00:00,2008-08-22 00:00:00
220,1,10,Katie Cranleigh-Swash,40,2008-08-22 00:00:00,2008-08-22 00:00:00
222,1,10,Easter Holidays,67,2008-08-22 00:00:00,2008-08-22 00:00:00
223,1,10,1st May VIII,99,2008-08-22 00:00:00,2008-08-22 00:00:00
224,1,10,Womens 1st May VIII,98,2008-08-22 00:00:00,2008-08-22 00:00:00
225,1,10,2nd May VIII,97,2008-08-22 00:00:00,2008-08-22 00:00:00
226,1,10,Womens 2nd May VIII,96,2008-08-22 00:00:00,2008-08-22 00:00:00
227,1,10,3rd May VIII,95,2008-08-22 00:00:00,2008-08-22 00:00:00
228,1,10,Womens 3rd May VIII,94,2008-08-22 00:00:00,2008-08-22 00:00:00
229,1,10,4th May VIII,93,2008-08-22 00:00:00,2008-08-22 00:00:00
230,1,10,President,100,2008-08-22 00:00:00,2008-08-22 00:00:00
231,1,11,Mens 1st Fairbairns IV,32,2008-08-22 00:00:00,2008-08-22 00:00:00
232,1,11,Mens 2nd Fairbairns IV,30,2008-08-22 00:00:00,2008-08-22 00:00:00
233,1,11,Womens 1st Fairbairns IV,31,2008-08-22 00:00:00,2008-08-22 00:00:00
243,1,11,Mens 1st Novice VIII,17,2008-08-22 00:00:00,2008-08-22 00:00:00
244,1,11,Mens 2nd Novice VIII,15,2008-08-22 00:00:00,2008-08-22 00:00:00
245,1,11,Mens 3rd Novice VIII,13,2008-08-22 00:00:00,2008-08-22 00:00:00
246,1,11,Mens 4th Novice VIII,11,2008-08-22 00:00:00,2008-08-22 00:00:00
247,1,11,Mens 5th Novice VIII,11,2008-08-22 00:00:00,2008-08-22 00:00:00
248,1,11,Mens 6th Novice VIII,9,2008-08-22 00:00:00,2008-08-22 00:00:00
249,1,11,Womens 1st Novice VIII,16,2008-08-22 00:00:00,2008-08-22 00:00:00
250,1,11,Womens 2nd Novice VIII,14,2008-08-22 00:00:00,2008-08-22 00:00:00
251,1,11,Womens 3rd Novice VIII,12,2008-08-22 00:00:00,2008-08-22 00:00:00
