7,93,Womens Lower Boats Captains ,27,22/08/2008 00:00,22/08/2008 00:00
7,37,Womens Lower Boats Captains ,25,22/08/2008 00:00,22/08/2008 00:00
7,81,Mens Captain,23,22/08/2008 00:00,22/08/2008 00:00
7,34,Mens Lower Boats Captains,21,22/08/2008 00:00,22/08/2008 00:00
7,2,Mens Lower Boats Captains,19,22/08/2008 00:00,22/08/2008 00:00
7,56,Coxes Captain,17,22/08/2008 00:00,22/08/2008 00:00
7,29,Ergo comp committee,15,22/08/2008 00:00,22/08/2008 00:00
7,12,Ergo comp committee,13,22/08/2008 00:00,22/08/2008 00:00
7,45,Secretary,11,22/08/2008 00:00,22/08/2008 00:00
7,7,Treasurer,9,22/08/2008 00:00,22/08/2008 00:00
7,46,Social Secretary,7,22/08/2008 00:00,22/08/2008 00:00
7,80,Webmaster,5,22/08/2008 00:00,22/08/2008 00:00
6,11,Women's/Overall Captain,23,22/08/2008 00:00,22/08/2008 00:00
6,1,Womens Vice Captains ,21,22/08/2008 00:00,22/08/2008 00:00
6,100,Womens Vice Captains ,19,22/08/2008 00:00,22/08/2008 00:00
6,76,Mens Captain,17,22/08/2008 00:00,22/08/2008 00:00
6,21,Mens Vice Captains,15,22/08/2008 00:00,22/08/2008 00:00
6,88,Mens Vice Captains,13,22/08/2008 00:00,22/08/2008 00:00
6,26,Coxes Captain,11,22/08/2008 00:00,22/08/2008 00:00
6,41,Secretary,9,22/08/2008 00:00,22/08/2008 00:00
6,19,Treasurer,7,22/08/2008 00:00,22/08/2008 00:00
6,47,Social Secretary,5,22/08/2008 00:00,22/08/2008 00:00
5,43,Women's/Overall Captain,19,22/08/2008 00:00,22/08/2008 00:00
5,91,Womens Vice Captains ,17,22/08/2008 00:00,22/08/2008 00:00
5,13,Mens Captain,15,22/08/2008 00:00,22/08/2008 00:00
5,235,Mens Vice Captains,13,22/08/2008 00:00,22/08/2008 00:00
5,68,Mens Vice Captains,11,22/08/2008 00:00,22/08/2008 00:00
5,69,Secretary,9,22/08/2008 00:00,22/08/2008 00:00
