68,02/03/2004,The Lent Bumps - Thursday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
69,03/03/2004,The Lent Bumps - Friday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
70,24/02/2004,The Lent Bumps - Getting On Race,REPLACE,1,CB4 1EU,The Cam,4,20,6,No,4
71,12/02/2004,Bedford Eights Head,No event description,1,MK42 0AX,The Great Ouse,4,20,6,No,2
72,10/05/2007,DELETE ME,,,,,,,,,
73,10/05/2007,DELETE ME,,,,,,,,,
74,10/05/2007,DELETE ME,,,,,,,,,
75,10/05/2007,DELETE ME,,,,,,,,,
76,10/05/2007,DELETE ME,,,,,,,,,
77,25/03/2004,Head of the River Race,No event description,1,SW15 1LB,The Thames,4,20,6,No,2
78,01/07/1999,Cambridge Town Bumps,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
79,10/05/2007,DELETE ME,,,,,,,,,
80,10/05/2007,DELETE ME,,,,,,,,,
81,10/05/2007,DELETE ME,,,,,,,,,
82,01/04/2004,The Boat Race,No event description,1,SW15 1LB,The Thames,4,20,6,No,3
83,10/05/2007,DELETE ME,,,,,,,,,
84,29/04/2004,Head of the Cam,REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
85,11/05/2004,Cambridge Spring Head to Head,2 x 2,1,CB4 1EU,The Cam,4,20,6,No,2
86,17/06/2004,The Mays Bumps - Saturday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
87,12/02/2004,Bedford Regatta,REPLACE,1,MK42 0AX,The Great Ouse,4,20,6,No,3
88,02/03/2001,The Lent Bumps - Thursday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
89,06/06/2004,The May Bumps - Getting On Race,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
90,22/05/2004,Champions VIIIs Head,REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
91,14/06/2004,The May Bumps - Wednesday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
92,15/06/2004,The May Bumps - Thursday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
93,16/06/2004,The May Bumps - Friday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
95,16/06/2004,The May Bumps - Dinner,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
