106,5,current,2008-08-22 00:00:00
107,1,alumni,2008-08-22 00:00:00
107,5,current,2008-08-22 00:00:00
108,1,alumni,2008-08-22 00:00:00
109,1,alumni,2008-08-22 00:00:00
110,1,alumni,2008-08-22 00:00:00
111,1,alumni,2008-08-22 00:00:00
121,1,alumni,2008-08-22 00:00:00
121,5,current,2008-08-22 00:00:00
122,1,alumni,2008-08-22 00:00:00
123,1,alumni,2008-08-22 00:00:00
124,1,alumni,2008-08-22 00:00:00
125,1,alumni,2008-08-22 00:00:00
125,5,current,2008-08-22 00:00:00
126,1,alumni,2008-08-22 00:00:00
126,5,current,2008-08-22 00:00:00
127,1,alumni,2008-08-22 00:00:00
128,1,alumni,2008-08-22 00:00:00
128,5,current,2008-08-22 00:00:00
129,1,alumni,2008-08-22 00:00:00
129,5,current,2008-08-22 00:00:00
130,1,alumni,2008-08-22 00:00:00
130,5,current,2008-08-22 00:00:00
131,1,alumni,2008-08-22 00:00:00
132,1,alumni,2008-08-22 00:00:00
133,1,alumni,2008-08-22 00:00:00
134,1,alumni,2008-08-22 00:00:00
135,1,alumni,2008-08-22 00:00:00
136,1,alumni,2008-08-22 00:00:00
136,5,current,2008-08-22 00:00:00
137,1,alumni,2008-08-22 00:00:00
138,1,alumni,2008-08-22 00:00:00
139,1,alumni,2008-08-22 00:00:00
140,1,alumni,2008-08-22 00:00:00
141,1,alumni,2008-08-22 00:00:00
142,1,alumni,2008-08-22 00:00:00
143,1,alumni,2008-08-22 00:00:00
144,1,alumni,2008-08-22 00:00:00
145,1,alumni,2008-08-22 00:00:00
146,1,alumni,2008-08-22 00:00:00
147,1,alumni,2008-08-22 00:00:00
148,1,alumni,2008-08-22 00:00:00
149,1,alumni,2008-08-22 00:00:00
150,1,alumni,2008-08-22 00:00:00
151,1,alumni,2008-08-22 00:00:00
152,1,alumni,2008-08-22 00:00:00
153,1,alumni,2008-08-22 00:00:00
154,1,alumni,2008-08-22 00:00:00
155,1,alumni,2008-08-22 00:00:00
156,1,alumni,2008-08-22 00:00:00
157,1,alumni,2008-08-22 00:00:00
158,1,alumni,2008-08-22 00:00:00
159,1,alumni,2008-08-22 00:00:00
160,1,alumni,2008-08-22 00:00:00
161,1,alumni,2008-08-22 00:00:00
162,1,alumni,2008-08-22 00:00:00
162,5,current,2008-08-22 00:00:00
163,1,alumni,2008-08-22 00:00:00
164,1,alumni,2008-08-22 00:00:00
165,1,alumni,2008-08-22 00:00:00
166,1,current,2008-08-22 00:00:00
166,5,current,2008-08-22 00:00:00
167,1,alumni,2008-08-22 00:00:00
168,1,alumni,2008-08-22 00:00:00
169,1,alumni,2008-08-22 00:00:00
170,1,alumni,2008-08-22 00:00:00
171,1,alumni,2008-08-22 00:00:00
172,1,alumni,2008-08-22 00:00:00
173,1,alumni,2008-08-22 00:00:00
173,5,current,2008-08-22 00:00:00
174,1,alumni,2008-08-22 00:00:00
175,1,alumni,2008-08-22 00:00:00
176,1,alumni,2008-08-22 00:00:00
176,5,current,2008-08-22 00:00:00
177,1,alumni,2008-08-22 00:00:00
178,1,alumni,2008-08-22 00:00:00
179,1,alumni,2008-08-22 00:00:00
179,5,current,2008-08-22 00:00:00
180,1,alumni,2008-08-22 00:00:00
181,1,alumni,2008-08-22 00:00:00
182,1,alumni,2008-08-22 00:00:00
182,5,current,2008-08-22 00:00:00
183,1,alumni,2008-08-22 00:00:00
184,1,alumni,2008-08-22 00:00:00
185,1,alumni,2008-08-22 00:00:00
185,5,current,2008-08-22 00:00:00
186,1,alumni,2008-08-22 00:00:00
187,1,alumni,2008-08-22 00:00:00
188,1,alumni,2008-08-22 00:00:00
189,1,alumni,2008-08-22 00:00:00
190,1,alumni,2008-08-22 00:00:00
191,1,alumni,2008-08-22 00:00:00
192,1,alumni,2008-08-22 00:00:00
193,1,alumni,2008-08-22 00:00:00
194,1,alumni,2008-08-22 00:00:00
195,1,alumni,2008-08-22 00:00:00
196,1,alumni,2008-08-22 00:00:00
197,1,alumni,2008-08-22 00:00:00
198,1,alumni,2008-08-22 00:00:00
199,1,alumni,2008-08-22 00:00:00
199,5,current,2008-08-22 00:00:00
200,1,alumni,2008-08-22 00:00:00
201,1,alumni,2008-08-22 00:00:00
201,5,current,2008-08-22 00:00:00
202,1,alumni,2008-08-22 00:00:00
203,1,alumni,2008-08-22 00:00:00
204,1,alumni,2008-08-22 00:00:00
205,1,alumni,2008-08-22 00:00:00
