192,1,26,9,9,20
257,32,80,1,1,20
256,32,47,2,2,20
255,32,2,3,3,20
254,32,88,8,8,20
250,58,11,2,2,20
249,32,26,9,9,20
246,57,106,4,4,20
245,34,62,1,1,20
244,34,70,2,2,20
243,34,101,3,3,20
242,34,92,4,4,20
241,34,19,5,5,20
240,34,47,6,6,20
239,34,81,7,7,20
238,34,2,8,8,20
237,34,26,9,9,20
236,56,8,1,1,20
235,56,5,2,2,20
234,56,55,3,3,20
233,56,23,4,4,20
232,56,96,5,5,20
231,56,110,6,6,20
230,56,42,7,7,20
229,56,51,8,8,20
228,56,109,9,9,20
227,55,52,1,1,20
226,55,53,2,2,20
225,55,98,3,3,20
224,55,36,4,4,20
223,55,59,5,5,20
222,55,32,6,6,20
221,55,82,7,7,20
220,55,89,8,8,20
219,55,40,9,9,20
218,54,66,1,1,20
217,54,27,2,2,20
216,54,46,3,3,20
215,54,108,4,4,20
214,54,31,5,5,20
213,54,83,6,6,20
212,54,15,7,7,20
211,54,19,8,8,20
210,54,61,9,9,20
209,2,93,1,1,20
208,2,12,2,2,20
207,2,107,3,3,20
206,2,9,4,4,20
205,2,11,5,5,20
204,2,49,6,6,20
203,2,43,7,7,20
202,2,17,8,8,20
201,2,65,9,9,20
200,1,70,1,1,20
199,1,25,2,2,20
198,1,47,3,3,20
197,1,45,4,4,20
196,1,6,5,5,20
195,1,81,6,6,20
194,1,106,7,7,20
193,1,2,8,8,20
442,53,17,8,8,20
441,53,4,9,9,20
189,52,56,9,9,20
188,51,52,1,1,20
187,51,9,2,2,20
186,51,98,3,3,20
185,51,36,4,4,20
184,51,59,5,5,20
183,51,32,6,6,20
182,51,82,7,7,20
181,51,89,8,8,20
180,51,40,9,9,20
179,49,94,1,1,20
178,49,41,2,2,20
177,49,11,3,3,20
176,49,17,8,8,20
175,49,26,9,9,20
174,48,65,8,8,20
173,47,93,1,1,20
172,47,12,2,2,20
171,47,16,3,3,20
170,47,64,4,4,20
169,47,79,5,5,20
168,47,49,6,6,20
167,47,43,7,7,20
166,47,17,8,8,20
165,47,65,9,9,20
164,45,12,1,1,20
163,45,10,2,2,20
162,45,99,3,3,20
161,45,37,4,4,20
160,45,77,5,5,20
159,45,71,6,6,20
158,45,82,7,7,20
157,45,1,8,8,20
156,45,22,9,9,20
155,44,94,1,1,20
154,44,86,2,2,20
153,44,93,3,3,20
152,44,9,4,4,20
151,44,79,5,5,20
150,44,49,6,6,20
149,44,11,7,7,20
148,44,17,8,8,20
147,44,41,9,9,20
146,42,43,7,7,20
145,36,27,1,1,20
144,36,66,2,2,20
143,36,83,3,3,20
142,36,15,4,4,20
141,36,45,5,5,20
140,36,35,6,6,20
139,36,34,7,7,20
138,36,68,8,8,20
137,36,61,9,9,20
136,35,93,1,1,20
135,35,9,2,2,20
134,35,82,3,3,20
133,35,64,4,4,20
132,35,79,5,5,20
131,35,49,6,6,20
130,35,43,7,7,20
129,35,17,8,8,20
128,35,65,9,9,20
127,33,21,2,2,20
126,33,76,3,3,20
125,33,26,9,9,20
124,31,73,9,9,20
123,30,39,1,1,20
122,30,28,2,2,20
121,30,5,4,4,20
120,30,44,5,5,20
119,30,31,6,6,20
118,30,87,7,7,20
117,30,23,8,8,20
116,30,20,9,9,20
115,28,45,2,2,20
114,28,80,3,3,20
113,28,33,9,9,20
100759,27,222,7,7,20
100758,27,220,8,8,20
100757,27,26,9,9,20
109,26,27,1,1,20
108,26,66,2,2,20
107,26,83,3,3,20
106,26,15,4,4,20
105,26,45,5,5,20
104,26,35,6,6,20
103,26,34,7,7,20
102,26,68,8,8,20
101,26,61,9,9,20
438,25,45,3,3,20
437,25,15,4,4,20
436,25,19,5,5,20
435,25,68,6,6,20
434,25,81,7,7,20
433,25,70,8,8,20
94,23,6,8,8,20
93,21,12,1,1,20
92,21,69,2,2,20
91,21,89,3,3,20
90,21,91,4,4,20
89,21,79,5,5,20
88,21,100,6,6,20
87,21,82,7,7,20
86,21,37,8,8,20
85,21,56,9,9,20
84,20,94,1,1,20
83,20,86,2,2,20
82,20,1,3,3,20
81,20,9,4,4,20
80,20,93,5,5,20
79,20,49,6,6,20
78,20,11,7,7,20
